"n","simulation_run","seed","stringy_diameter","stringy_num_edges","stringy_num_vertices","penrose_diameter","penrose_num_edges","penrose_num_vertices","total_mst_length","stringy05"
4000,27,530,5.80667613271057,536,537,0.0333071116580358,1,2,41.1683252594923,0.141047178774213
4000,28,531,4.58612594395113,428,429,0.0333202992206285,1,2,41.3514396169569,0.110906076945155
4000,29,532,4.42601095201395,428,429,0.0289201581280153,1,2,41.1947930644459,0.107441028896293
4000,30,533,4.27774577733637,408,409,0.0327656739798493,1,2,41.2751713785462,0.103639685420176
4000,31,534,4.28140250658322,416,417,0.0280685197749422,1,2,41.3928261984788,0.103433442453382
4000,32,535,5.16982081184659,492,493,0.0268663420502665,1,2,41.4017230271353,0.124869701883137
4000,33,536,5.62069757451897,535,536,0.031500049150093,1,2,40.98664349517,0.137134858949388
4000,34,537,5.34534947748688,515,516,0.0282299570988269,1,2,40.9373629758737,0.13057385940167
4000,35,538,5.59927193409205,545,546,0.03585476705695,1,2,41.3526868663695,0.135402856703991
4000,36,539,4.12370309073814,382,383,0.0294086694956586,1,2,41.2773069784486,0.0999024256328346
4000,37,540,3.50374296207034,325,326,0.0315673232266376,1,2,41.4066516306777,0.0846178771788072
4000,38,541,4.03071081553936,395,396,0.0294757032516691,1,2,41.2158145869157,0.0977952481574618
4000,39,542,4.33637557482071,404,405,0.030799884941961,1,2,41.5831373931991,0.104282068325367
4000,40,543,6.87109234287009,660,661,0.029340303978178,1,2,41.2638466721586,0.166516039996487
4000,41,544,4.00683629208526,377,378,0.0290417078167727,1,2,41.4778111844607,0.0966019222727545
4000,42,545,4.8600432023105,457,458,0.0268887543095045,1,2,41.558463258496,0.116944728492022
4000,43,546,4.59150179814024,429,430,0.0303062280045348,1,2,41.2950739996547,0.111187639430762
4000,44,547,5.9721351897666,567,568,0.0317538472756042,1,2,41.2508072610005,0.144776201638429
4000,45,548,5.48847022804178,526,527,0.0317305383955425,1,2,41.558177345095,0.132067154496841
4000,46,549,5.40800783858722,521,522,0.0289815266776324,1,2,41.2751144462139,0.131023448660196
4000,47,550,4.70186181201667,458,459,0.0352899475015707,1,2,41.1633604228484,0.114224440466401
4000,48,551,4.7314334043492,443,444,0.0318418275119058,1,2,41.4394750309247,0.114176962927699
4000,49,552,4.6531220512682,451,452,0.0282001351009313,1,2,41.4388209757112,0.112288958558825
4000,50,553,5.40621548021685,513,514,0.0284981372785425,1,2,41.1327282200244,0.131433428176665
4000,51,554,5.68590152397255,542,543,0.0312677194221642,1,2,40.8960404628446,0.139033056981112
4000,52,555,5.73640900303323,546,547,0.0330849100437148,1,2,41.2575787310568,0.139038915502696
4000,53,556,3.96094921760142,396,397,0.0272397209817958,1,2,41.1252600831386,0.0963142654804853
4000,54,557,4.04405332783769,387,388,0.0284415740146402,1,2,41.4365706167682,0.0975962360698155
4000,55,558,5.0247859043522,480,481,0.0272930476932784,1,2,41.7082938421244,0.120474501387474
4000,56,559,5.2405052676431,482,483,0.0344860786998424,1,2,41.6279219555963,0.125889187388048
4000,57,560,5.15524416739801,484,485,0.0271814184809424,1,2,41.3272584717992,0.124741982846886
4000,58,561,4.5765451145193,452,453,0.0261000475913779,1,2,41.1196024033686,0.111298379532589
4000,59,562,4.55432216337036,445,446,0.027150021490247,1,2,41.1845654203752,0.110583227402886
4000,60,563,5.33074746048325,509,510,0.0345308378947843,1,2,41.2919421669509,0.129098976234396
4000,61,564,4.23531642128436,395,396,0.034297645343227,1,2,41.6779394873825,0.101620101026505
4000,62,565,5.84464990996157,554,555,0.0278391735297457,1,2,41.2721019447498,0.141612605962877
4000,63,566,4.85920269589168,461,462,0.0276587844294174,1,2,41.4588155775875,0.117205535859991
4000,64,567,5.27672863944317,503,504,0.0306923376896928,1,2,41.0732136634162,0.128471287459621
