"structure","run","seed","weighted_diameter","hop_diameter","mst_length","weighted_stringy","hop_stringy","difference"
"Sine wave",22,1071,4.5145086177235,478,4.58780334052357,0.984024005093534,0.957915831663327,0.0261081734302071
"Sine wave",23,1072,4.45839977304808,472,4.54388788896367,0.981186130026838,0.945891783567134,0.0352943464597038
"Sine wave",24,1073,4.44354815336614,473,4.5262525426664,0.98172784471908,0.947895791583166,0.0338320531359132
"Sine wave",25,1074,4.4821881456098,471,4.59542695228087,0.975358370865874,0.943887775551102,0.0314705953147714
"Sine wave",26,1075,4.45925813684033,472,4.55699904073801,0.978551475867361,0.945891783567134,0.0326596923002265
"Sine wave",27,1076,4.4633456804408,471,4.56685753997571,0.977334116812529,0.943887775551102,0.0334463412614266
"Sine wave",28,1077,4.43025959658384,477,4.52278600807397,0.979542164646976,0.955911823647295,0.0236303409996816
"Sine wave",29,1078,4.45243609992768,472,4.54390506531245,0.979869965575859,0.945891783567134,0.0339781820087252
"Sine wave",30,1079,4.47687112930709,476,4.55622292235929,0.982583865099579,0.953907815631262,0.0286760494683164
"Sine wave",31,1080,4.45843403435465,474,4.53864818477584,0.982326422503894,0.949899799599198,0.0324266229046956
"Sine wave",32,1081,4.4426861168318,469,4.54608419949768,0.977255572460074,0.939879759519038,0.0373758129410358
"Sine wave",33,1082,4.46665596503662,479,4.52134647968939,0.98790393195955,0.959919839679359,0.0279840922801912
"Sine wave",34,1083,4.44878902774185,479,4.5178312515309,0.98471783916992,0.959919839679359,0.0247979994905617
"Sine wave",35,1084,4.47133282356345,477,4.53647170912363,0.98564106871224,0.955911823647295,0.0297292450649458
